#CATEGORY,NAME IN REPO (or git url),COMMENT
S,REQUIRED,
,xorg-server,
,xorg-apps,
,xorg-xinit,
,sddm,is the display manager
,thunar,is the graphical file manager
A,lf,is our default console file manager
,ueberzug,is required for image previews in lf
,ffmpegthumbnailer,is required for video previews in lf
,perl-image-exiftool,is required for previews of diverse files like audio
A,stpv-git,does the image previews in lf. integrated in the config
,awesome,is the window manager
,xterm,the default awesome terminal in case of fallback
,xclip,is to allow copy paste
,feh,is for setting the awesome background
,arandr,is used to generate xrandr scripts with a GUI
,bash-completions,
,pulseaudio,offers audio integration
,pulseaudio-alsa,is the audio system
,pavucontrol,is the GUI for pulseaudio
,dmenu,is the program/command launcher
,xcompmgr,is for terminal transparency
,expac,is for the rip alias
,maim,is the screenshot tool (see respective alias)
,hw-probe,is for the probe alias to check drivers
S,TERMINAL AND LAUNCHER,
,rofi,
G,https://github.com/NiklasFeurstein/st,
,neofetch,
S,COMMUNICATION,
,hexchat,
,discord,
A,spotify,
,telegram-desktop,
,signal-desktop,
S,DEVELOPMENT,
,atom,is the IDE
,neovim,is the default editor
,meld,is used for file comparisons
S,INTERNET & MEDIA,
,networkmanager,provides detection and configuration for networks
,nm-connection-editor,is the network gui
,network-manager-applet,is the network system tray icon
A,hblock,is the hosts file adblocker
A,brave-bin,
,firefox,
A,google-chrome,
,lynx,
A,mpv-mpvacious,is the media player
,qbittorrent,is the torrent application
,yt-dlp,command line tool to easily download videos
,audacity,is for audio recording
A,ahoviewer-git,
A,anki,is a flashcard app
,xournalpp,is the pdf editor
,libreoffice-still,is the office suite
S,MANAGEMENT,
,pass,is the password manager
,pass-otp,is the pass extension for one time passwords
,gcr,is used to display the pass gui prompt with passmenu
,xdotool,is used to auto type password
,reflector,is used to update mirrors (e.g. alias mirrox)
,man-pages,
,man-db,
,htop,is the task manager
,ntfs-3g,is used to support ntfs file system
,slock,is the lockscreen
S,LANGUAGE,
,terminus-font,is the default font for terminal and gtk etc
A,terminus-font-ttf,java applications can only use this version
,otf-ipafont,supplies the japanese (JA) fonts Mincho and Gothic
,noto-fonts,supplies some kanji that aren't supported by gothic
,noto-fonts-cjk,supplies some kanji that aren't supported by gothic
,noto-fonts-emoji,supplies all missing emoji
